freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.141e+01,2.162e+02,1.559e+01,2.532e+02
1.5,2.883e+01,1.304e+02,5.473e+01,2.140e+02
3.0,2.014e+01,2.156e+01,6.274e+01,1.044e+02
4.5,1.882e+01,1.891e+02,6.412e+01,2.721e+02
6.0,2.133e+01,7.622e+02,6.185e+01,8.454e+02
7.5,2.254e+01,1.293e+03,6.244e+01,1.378e+03
9.0,2.433e+01,1.851e+03,6.585e+01,1.941e+03
10.5,2.684e+01,2.497e+03,6.303e+01,2.587e+03
11.9,2.673e+01,3.329e+03,6.122e+01,3.417e+03
13.4,2.780e+01,4.220e+03,6.556e+01,4.314e+03
14.9,3.038e+01,5.291e+03,6.624e+01,5.388e+03
16.4,2.953e+01,6.419e+03,7.640e+01,6.525e+03
17.9,2.824e+01,6.305e+03,7.990e+01,6.413e+03
19.4,3.196e+01,6.299e+03,6.835e+01,6.399e+03
20.9,3.323e+01,7.287e+03,6.067e+01,7.381e+03
22.4,3.320e+01,8.630e+03,6.175e+01,8.725e+03
23.9,4.188e+01,1.019e+04,6.823e+01,1.030e+04
25.4,4.889e+01,1.195e+04,6.816e+01,1.207e+04
26.9,4.002e+01,1.376e+04,6.654e+01,1.386e+04
28.4,3.809e+01,1.568e+04,6.817e+01,1.579e+04
29.9,4.371e+01,1.765e+04,7.279e+01,1.776e+04
31.4,5.220e+01,1.936e+04,7.436e+01,1.949e+04
32.8,6.318e+01,2.120e+04,7.223e+01,2.134e+04
34.3,7.005e+01,2.321e+04,7.650e+01,2.336e+04
35.8,7.167e+01,2.443e+04,7.726e+01,2.458e+04
37.3,7.414e+01,2.507e+04,9.029e+01,2.523e+04
38.8,8.876e+01,2.547e+04,1.051e+02,2.566e+04
40.3,8.611e+01,2.573e+04,7.758e+01,2.590e+04
41.8,9.244e+01,2.543e+04,7.303e+01,2.560e+04
43.3,1.034e+02,2.458e+04,7.306e+01,2.475e+04
44.8,1.132e+02,2.429e+04,7.146e+01,2.447e+04
46.3,1.232e+02,2.526e+04,7.667e+01,2.546e+04
47.8,1.239e+02,2.703e+04,8.042e+01,2.723e+04
49.3,1.061e+02,2.989e+04,8.267e+01,3.008e+04
50.8,1.277e+02,3.299e+04,8.833e+01,3.321e+04
52.3,1.663e+02,3.486e+04,9.653e+01,3.512e+04
53.7,1.957e+02,3.694e+04,1.197e+02,3.725e+04
55.2,2.132e+02,3.925e+04,1.292e+02,3.959e+04
56.7,2.826e+02,4.036e+04,1.264e+02,4.077e+04
58.2,3.941e+02,4.033e+04,1.178e+02,4.084e+04
59.7,4.607e+02,3.927e+04,1.048e+02,3.983e+04
61.2,5.080e+02,3.919e+04,9.916e+01,3.980e+04
62.7,5.544e+02,4.178e+04,1.064e+02,4.244e+04
64.2,5.963e+02,4.373e+04,1.122e+02,4.444e+04
65.7,6.811e+02,4.573e+04,1.174e+02,4.653e+04
67.2,7.549e+02,4.936e+04,1.279e+02,5.024e+04
68.7,8.646e+02,5.369e+04,1.504e+02,5.470e+04
70.2,1.017e+03,5.688e+04,1.675e+02,5.806e+04
71.7,1.171e+03,5.742e+04,1.886e+02,5.878e+04
73.2,1.383e+03,6.063e+04,2.047e+02,6.222e+04
74.6,1.632e+03,6.704e+04,2.117e+02,6.889e+04
76.1,1.932e+03,7.534e+04,2.467e+02,7.752e+04
77.6,2.200e+03,7.783e+04,2.809e+02,8.031e+04
79.1,2.527e+03,8.012e+04,3.180e+02,8.296e+04
80.6,3.108e+03,8.985e+04,3.722e+02,9.333e+04
82.1,3.838e+03,9.913e+04,4.560e+02,1.034e+05
83.6,4.480e+03,1.073e+05,5.860e+02,1.124e+05
85.1,5.530e+03,1.198e+05,7.866e+02,1.261e+05
86.6,7.305e+03,1.361e+05,1.115e+03,1.445e+05
88.1,9.999e+03,1.607e+05,1.690e+03,1.724e+05
89.6,1.442e+04,2.067e+05,2.528e+03,2.237e+05
91.1,2.071e+04,2.719e+05,3.560e+03,2.962e+05
92.6,3.128e+04,3.582e+05,5.263e+03,3.947e+05
94.1,6.095e+04,5.360e+05,9.325e+03,6.062e+05
95.5,1.510e+05,9.755e+05,1.844e+04,1.145e+06
97.0,2.056e+05,1.215e+06,2.194e+04,1.443e+06
98.5,1.653e+05,1.100e+06,1.823e+04,1.283e+06
100.0,1.243e+05,1.009e+06,1.528e+04,1.148e+06
101.5,9.529e+04,9.152e+05,1.297e+04,1.023e+06
103.0,7.491e+04,7.756e+05,1.102e+04,8.615e+05
104.5,6.303e+04,6.679e+05,9.764e+03,7.407e+05
106.0,5.361e+04,6.224e+05,8.927e+03,6.849e+05
107.5,4.796e+04,6.289e+05,8.673e+03,6.855e+05
109.0,4.307e+04,6.177e+05,8.983e+03,6.697e+05
110.5,3.778e+04,5.742e+05,9.366e+03,6.214e+05
112.0,3.198e+04,5.006e+05,9.254e+03,5.418e+05
113.5,2.687e+04,4.391e+05,9.064e+03,4.751e+05
115.0,2.424e+04,4.302e+05,9.477e+03,4.640e+05
116.4,2.219e+04,4.524e+05,1.028e+04,4.849e+05
117.9,2.014e+04,4.845e+05,1.162e+04,5.162e+05
119.4,1.839e+04,5.083e+05,1.397e+04,5.406e+05
120.9,1.674e+04,5.262e+05,1.786e+04,5.608e+05
122.4,1.551e+04,5.456e+05,2.432e+04,5.854e+05
123.9,1.480e+04,5.785e+05,3.645e+04,6.297e+05
125.4,1.385e+04,6.348e+05,6.071e+04,7.094e+05
126.9,1.179e+04,7.084e+05,9.930e+04,8.195e+05
128.4,9.534e+03,8.254e+05,1.422e+05,9.771e+05
129.9,8.591e+03,9.179e+05,1.509e+05,1.077e+06
131.4,7.375e+03,9.016e+05,1.141e+05,1.023e+06
132.9,9.626e+03,8.286e+05,7.134e+04,9.096e+05
134.4,1.623e+04,7.668e+05,4.452e+04,8.275e+05
135.9,2.438e+04,7.138e+05,2.907e+04,7.672e+05
137.4,3.264e+04,6.727e+05,2.063e+04,7.260e+05
138.8,4.199e+04,6.352e+05,1.611e+04,6.933e+05
140.3,5.210e+04,5.980e+05,1.355e+04,6.637e+05
141.8,6.266e+04,5.656e+05,1.208e+04,6.404e+05
143.3,7.244e+04,5.332e+05,1.150e+04,6.172e+05
144.8,8.135e+04,4.989e+05,1.134e+04,5.916e+05
146.3,8.947e+04,4.706e+05,1.095e+04,5.710e+05
147.8,9.770e+04,4.411e+05,1.064e+04,5.494e+05
149.3,1.083e+05,4.134e+05,1.090e+04,5.326e+05
150.8,1.126e+05,3.864e+05,1.182e+04,5.108e+05
152.3,1.130e+05,3.633e+05,1.253e+04,4.888e+05
153.8,1.289e+05,3.379e+05,1.223e+04,4.790e+05
155.3,1.530e+05,2.946e+05,1.050e+04,4.581e+05
156.8,1.477e+05,2.269e+05,7.618e+03,3.822e+05
158.3,1.125e+05,1.532e+05,4.896e+03,2.706e+05
159.7,8.534e+04,1.238e+05,3.910e+03,2.131e+05
161.2,6.615e+04,1.165e+05,3.682e+03,1.863e+05
162.7,5.005e+04,1.150e+05,3.623e+03,1.686e+05
164.2,3.719e+04,1.145e+05,3.556e+03,1.552e+05
165.7,2.886e+04,1.155e+05,3.498e+03,1.478e+05
167.2,2.306e+04,1.155e+05,3.469e+03,1.420e+05
168.7,1.838e+04,1.148e+05,3.349e+03,1.365e+05
170.2,1.502e+04,1.144e+05,3.320e+03,1.327e+05
171.7,1.240e+04,1.128e+05,3.365e+03,1.285e+05
173.2,1.037e+04,1.118e+05,3.328e+03,1.255e+05
174.7,8.481e+03,1.102e+05,3.303e+03,1.220e+05
176.2,7.324e+03,1.090e+05,3.256e+03,1.196e+05
177.7,6.330e+03,1.064e+05,3.216e+03,1.159e+05
179.2,5.695e+03,1.050e+05,3.224e+03,1.139e+05
180.6,5.164e+03,1.033e+05,3.216e+03,1.117e+05
182.1,4.962e+03,1.020e+05,3.284e+03,1.102e+05
183.6,4.685e+03,9.898e+04,3.292e+03,1.070e+05
185.1,4.357e+03,9.612e+04,3.307e+03,1.038e+05
186.6,4.122e+03,9.593e+04,3.378e+03,1.034e+05
188.1,4.042e+03,9.665e+04,3.423e+03,1.041e+05
189.6,4.054e+03,9.757e+04,3.523e+03,1.051e+05
191.1,3.858e+03,9.833e+04,3.597e+03,1.058e+05
192.6,3.575e+03,9.796e+04,3.633e+03,1.052e+05
