freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.334e+01,2.919e+02,1.194e+01,3.172e+02
1.5,2.072e+01,1.792e+02,4.976e+01,2.497e+02
3.0,1.847e+01,2.260e+01,5.182e+01,9.290e+01
4.5,1.882e+01,1.992e+02,4.772e+01,2.657e+02
6.0,2.609e+01,7.708e+02,4.865e+01,8.456e+02
7.6,3.252e+01,1.269e+03,5.143e+01,1.353e+03
9.1,4.056e+01,1.789e+03,5.094e+01,1.880e+03
10.6,4.736e+01,2.446e+03,5.005e+01,2.543e+03
12.1,5.773e+01,3.293e+03,5.228e+01,3.403e+03
13.6,7.246e+01,4.286e+03,5.485e+01,4.414e+03
15.1,9.856e+01,5.515e+03,5.643e+01,5.670e+03
16.6,1.255e+02,6.363e+03,6.372e+01,6.553e+03
18.1,9.987e+01,5.989e+03,6.299e+01,6.152e+03
19.6,9.145e+01,6.631e+03,5.614e+01,6.779e+03
21.2,1.134e+02,7.920e+03,5.442e+01,8.088e+03
22.7,1.427e+02,9.468e+03,5.056e+01,9.661e+03
24.2,1.849e+02,1.123e+04,5.323e+01,1.147e+04
25.7,2.111e+02,1.309e+04,5.318e+01,1.335e+04
27.2,2.334e+02,1.504e+04,5.320e+01,1.533e+04
28.7,2.476e+02,1.696e+04,4.962e+01,1.726e+04
30.2,2.612e+02,1.889e+04,4.907e+01,1.920e+04
31.7,2.933e+02,2.070e+04,5.219e+01,2.105e+04
33.2,3.113e+02,2.209e+04,5.288e+01,2.246e+04
34.8,3.117e+02,2.361e+04,5.353e+01,2.397e+04
36.3,2.857e+02,2.266e+04,5.570e+01,2.300e+04
37.8,2.729e+02,2.232e+04,6.211e+01,2.265e+04
39.3,2.900e+02,2.409e+04,6.555e+01,2.444e+04
40.8,3.269e+02,2.791e+04,5.666e+01,2.829e+04
42.3,3.401e+02,2.955e+04,5.298e+01,2.994e+04
43.8,3.269e+02,2.896e+04,5.263e+01,2.933e+04
45.3,3.907e+02,3.008e+04,5.457e+01,3.052e+04
46.8,4.591e+02,3.213e+04,5.310e+01,3.264e+04
48.4,5.281e+02,3.692e+04,5.691e+01,3.751e+04
49.9,6.043e+02,4.094e+04,6.490e+01,4.161e+04
51.4,7.562e+02,4.744e+04,7.446e+01,4.827e+04
52.9,8.702e+02,5.082e+04,7.833e+01,5.177e+04
54.4,7.805e+02,4.940e+04,6.529e+01,5.025e+04
55.9,6.550e+02,5.131e+04,6.065e+01,5.202e+04
57.4,6.483e+02,5.738e+04,6.091e+01,5.809e+04
58.9,8.218e+02,7.325e+04,6.999e+01,7.415e+04
60.4,1.223e+03,9.705e+04,1.033e+02,9.837e+04
62.0,1.220e+03,9.448e+04,1.092e+02,9.580e+04
63.5,1.367e+03,9.999e+04,1.121e+02,1.015e+05
65.0,1.578e+03,1.115e+05,1.438e+02,1.132e+05
66.5,1.961e+03,1.319e+05,1.922e+02,1.340e+05
68.0,2.758e+03,1.702e+05,2.488e+02,1.732e+05
69.5,3.816e+03,2.187e+05,3.350e+02,2.229e+05
71.0,3.961e+03,2.328e+05,3.773e+02,2.372e+05
72.5,4.448e+03,2.725e+05,5.168e+02,2.775e+05
74.0,5.259e+03,3.189e+05,6.898e+02,3.249e+05
75.6,6.510e+03,3.491e+05,8.566e+02,3.565e+05
77.1,7.990e+03,3.647e+05,1.147e+03,3.738e+05
78.6,1.019e+04,3.791e+05,1.645e+03,3.909e+05
80.1,1.427e+04,4.247e+05,2.651e+03,4.416e+05
81.6,1.929e+04,4.805e+05,4.099e+03,5.039e+05
83.1,2.458e+04,5.182e+05,6.576e+03,5.493e+05
84.6,3.115e+04,5.367e+05,1.060e+04,5.785e+05
86.1,3.434e+04,5.564e+05,1.384e+04,6.046e+05
87.6,2.910e+04,5.692e+05,1.482e+04,6.131e+05
89.2,2.195e+04,6.419e+05,1.606e+04,6.799e+05
90.7,1.651e+04,6.907e+05,1.694e+04,7.242e+05
92.2,1.428e+04,8.097e+05,2.100e+04,8.450e+05
93.7,1.352e+04,1.093e+06,2.839e+04,1.135e+06
95.2,1.660e+04,1.508e+06,3.613e+04,1.561e+06
96.7,1.855e+04,1.832e+06,4.026e+04,1.890e+06
98.2,1.415e+04,2.011e+06,3.960e+04,2.065e+06
99.7,1.043e+04,2.094e+06,3.415e+04,2.138e+06
101.2,7.737e+03,1.986e+06,2.240e+04,2.016e+06
102.8,7.707e+03,1.712e+06,1.354e+04,1.733e+06
104.3,9.191e+03,1.395e+06,9.102e+03,1.414e+06
105.8,8.404e+03,1.113e+06,6.659e+03,1.128e+06
107.3,7.868e+03,9.165e+05,5.147e+03,9.295e+05
108.8,7.366e+03,7.764e+05,4.423e+03,7.881e+05
110.3,6.767e+03,6.576e+05,4.268e+03,6.686e+05
111.8,6.495e+03,5.547e+05,5.017e+03,5.662e+05
113.3,6.062e+03,4.485e+05,5.911e+03,4.605e+05
114.8,5.134e+03,3.760e+05,6.253e+03,3.874e+05
116.4,4.365e+03,3.210e+05,6.140e+03,3.315e+05
117.9,3.809e+03,2.735e+05,5.750e+03,2.830e+05
119.4,3.585e+03,2.418e+05,5.387e+03,2.508e+05
120.9,3.366e+03,2.165e+05,5.488e+03,2.253e+05
122.4,2.953e+03,1.917e+05,6.054e+03,2.007e+05
123.9,2.655e+03,1.691e+05,7.328e+03,1.791e+05
125.4,2.958e+03,1.503e+05,9.714e+03,1.630e+05
126.9,4.288e+03,1.389e+05,1.354e+04,1.568e+05
128.4,6.709e+03,1.398e+05,1.767e+04,1.642e+05
130.0,8.572e+03,1.522e+05,1.788e+04,1.787e+05
131.5,7.824e+03,1.482e+05,1.350e+04,1.695e+05
133.0,6.474e+03,1.398e+05,9.581e+03,1.558e+05
134.5,5.689e+03,1.366e+05,7.375e+03,1.496e+05
136.0,5.128e+03,1.329e+05,5.974e+03,1.440e+05
137.5,4.822e+03,1.260e+05,4.703e+03,1.356e+05
139.0,5.019e+03,1.170e+05,3.563e+03,1.256e+05
140.5,5.180e+03,1.068e+05,2.560e+03,1.145e+05
142.0,5.453e+03,9.693e+04,1.936e+03,1.043e+05
143.6,5.820e+03,8.953e+04,1.594e+03,9.694e+04
145.1,6.499e+03,8.355e+04,1.421e+03,9.147e+04
146.6,7.460e+03,7.818e+04,1.294e+03,8.694e+04
148.1,8.587e+03,7.320e+04,1.105e+03,8.289e+04
149.6,1.034e+04,6.965e+04,9.715e+02,8.096e+04
151.1,1.310e+04,6.816e+04,9.394e+02,8.220e+04
152.6,1.649e+04,6.708e+04,9.143e+02,8.448e+04
154.1,2.062e+04,6.530e+04,9.270e+02,8.685e+04
155.6,2.255e+04,6.278e+04,8.874e+02,8.621e+04
157.2,2.667e+04,5.579e+04,7.574e+02,8.322e+04
158.7,3.760e+04,4.699e+04,6.113e+02,8.520e+04
160.2,5.175e+04,4.513e+04,5.793e+02,9.746e+04
161.7,6.024e+04,4.382e+04,5.563e+02,1.046e+05
163.2,6.548e+04,4.305e+04,5.682e+02,1.091e+05
164.7,6.771e+04,4.185e+04,5.933e+02,1.102e+05
166.2,6.133e+04,4.071e+04,6.423e+02,1.027e+05
167.7,5.558e+04,3.974e+04,6.780e+02,9.599e+04
169.2,5.193e+04,3.832e+04,7.039e+02,9.095e+04
170.8,4.913e+04,3.690e+04,6.650e+02,8.670e+04
172.3,5.274e+04,3.582e+04,5.844e+02,8.915e+04
173.8,6.542e+04,3.481e+04,5.000e+02,1.007e+05
175.3,8.233e+04,3.373e+04,4.747e+02,1.165e+05
176.8,1.035e+05,3.231e+04,4.907e+02,1.363e+05
178.3,1.413e+05,3.527e+04,5.105e+02,1.771e+05
179.8,1.843e+05,4.398e+04,5.617e+02,2.288e+05
181.3,2.000e+05,5.484e+04,6.585e+02,2.555e+05
182.8,1.904e+05,6.113e+04,7.496e+02,2.523e+05
184.4,1.681e+05,6.478e+04,8.278e+02,2.337e+05
185.9,1.510e+05,6.855e+04,8.566e+02,2.204e+05
187.4,1.345e+05,7.167e+04,8.843e+02,2.070e+05
188.9,1.177e+05,7.464e+04,9.043e+02,1.932e+05
190.4,9.870e+04,7.435e+04,9.150e+02,1.740e+05
191.9,8.107e+04,7.323e+04,9.741e+02,1.553e+05
193.4,6.810e+04,7.229e+04,1.043e+03,1.414e+05
194.9,5.611e+04,6.638e+04,1.047e+03,1.235e+05
196.4,3.931e+04,4.917e+04,9.118e+02,8.939e+04
198.0,2.977e+04,4.105e+04,8.229e+02,7.165e+04
199.5,2.402e+04,3.141e+04,6.803e+02,5.610e+04
