freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.639e+02,1.971e+01,1.395e+01,1.975e+02
1.5,1.045e+02,2.630e+01,5.941e+01,1.903e+02
3.0,2.545e+01,1.928e+01,6.417e+01,1.089e+02
4.5,2.271e+02,1.873e+01,6.414e+01,3.100e+02
6.0,8.261e+02,2.075e+01,6.015e+01,9.070e+02
7.6,1.361e+03,2.226e+01,5.938e+01,1.443e+03
9.1,1.938e+03,2.402e+01,5.985e+01,2.022e+03
10.6,2.724e+03,2.622e+01,6.408e+01,2.814e+03
12.1,3.751e+03,2.787e+01,6.707e+01,3.846e+03
13.6,4.842e+03,2.887e+01,6.396e+01,4.935e+03
15.1,6.076e+03,3.933e+01,6.583e+01,6.181e+03
16.6,7.049e+03,6.168e+01,8.435e+01,7.195e+03
18.1,7.503e+03,5.386e+01,1.124e+02,7.669e+03
19.6,8.310e+03,4.596e+01,1.250e+02,8.481e+03
21.1,1.006e+04,5.335e+01,1.206e+02,1.023e+04
22.7,1.235e+04,6.241e+01,1.344e+02,1.255e+04
24.2,1.497e+04,7.431e+01,1.642e+02,1.521e+04
25.7,1.698e+04,7.546e+01,1.923e+02,1.725e+04
27.2,1.820e+04,6.732e+01,1.634e+02,1.843e+04
28.7,2.002e+04,6.387e+01,1.102e+02,2.019e+04
30.2,2.277e+04,6.501e+01,8.287e+01,2.291e+04
31.7,2.534e+04,7.259e+01,7.075e+01,2.548e+04
33.2,2.786e+04,7.850e+01,7.132e+01,2.801e+04
34.7,3.044e+04,8.129e+01,6.855e+01,3.059e+04
36.2,3.272e+04,9.008e+01,6.474e+01,3.288e+04
37.8,3.488e+04,1.176e+02,7.587e+01,3.508e+04
39.3,3.686e+04,1.335e+02,8.780e+01,3.708e+04
40.8,3.879e+04,1.095e+02,7.461e+01,3.897e+04
42.3,4.111e+04,1.141e+02,8.045e+01,4.130e+04
43.8,4.377e+04,1.284e+02,9.121e+01,4.399e+04
45.3,4.467e+04,1.387e+02,9.814e+01,4.491e+04
46.8,4.245e+04,1.482e+02,8.896e+01,4.268e+04
48.3,3.800e+04,1.585e+02,7.475e+01,3.823e+04
49.8,3.539e+04,1.711e+02,7.364e+01,3.564e+04
51.3,3.330e+04,1.790e+02,7.892e+01,3.355e+04
52.9,3.198e+04,1.831e+02,8.883e+01,3.225e+04
54.4,3.104e+04,1.873e+02,9.031e+01,3.132e+04
55.9,2.880e+04,2.014e+02,8.977e+01,2.909e+04
57.4,2.704e+04,2.223e+02,8.222e+01,2.734e+04
58.9,2.616e+04,2.413e+02,9.044e+01,2.650e+04
60.4,2.573e+04,2.588e+02,1.037e+02,2.609e+04
61.9,2.591e+04,2.765e+02,1.131e+02,2.630e+04
63.4,2.599e+04,2.825e+02,1.192e+02,2.639e+04
64.9,2.502e+04,2.796e+02,1.061e+02,2.541e+04
66.4,2.676e+04,2.847e+02,9.104e+01,2.713e+04
68.0,2.951e+04,3.214e+02,9.882e+01,2.993e+04
69.5,3.068e+04,3.559e+02,1.107e+02,3.114e+04
71.0,2.941e+04,3.837e+02,1.166e+02,2.991e+04
72.5,3.091e+04,4.276e+02,1.170e+02,3.146e+04
74.0,3.480e+04,4.887e+02,1.358e+02,3.543e+04
75.5,3.954e+04,5.808e+02,1.581e+02,4.028e+04
77.0,4.290e+04,6.628e+02,1.822e+02,4.374e+04
78.5,4.557e+04,6.296e+02,2.107e+02,4.641e+04
80.0,5.157e+04,6.839e+02,2.546e+02,5.251e+04
81.5,6.179e+04,8.288e+02,3.021e+02,6.292e+04
83.1,7.196e+04,1.040e+03,3.315e+02,7.333e+04
84.6,8.196e+04,1.399e+03,3.687e+02,8.373e+04
86.1,8.957e+04,1.906e+03,4.302e+02,9.190e+04
87.6,9.398e+04,2.565e+03,4.943e+02,9.704e+04
89.1,1.012e+05,3.555e+03,5.958e+02,1.054e+05
90.6,1.080e+05,5.220e+03,7.777e+02,1.140e+05
92.1,1.137e+05,8.046e+03,9.864e+02,1.228e+05
93.6,1.145e+05,1.267e+04,1.217e+03,1.284e+05
95.1,1.060e+05,2.015e+04,1.607e+03,1.278e+05
96.6,9.399e+04,3.259e+04,2.246e+03,1.288e+05
98.2,7.819e+04,5.138e+04,3.361e+03,1.329e+05
99.7,7.122e+04,7.151e+04,4.816e+03,1.475e+05
101.2,8.784e+04,7.465e+04,5.488e+03,1.680e+05
102.7,1.225e+05,5.614e+04,4.578e+03,1.832e+05
104.2,1.487e+05,3.472e+04,3.275e+03,1.867e+05
105.7,1.571e+05,2.207e+04,2.577e+03,1.818e+05
107.2,1.564e+05,1.386e+04,1.956e+03,1.722e+05
108.7,1.664e+05,8.772e+03,1.435e+03,1.766e+05
