freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.310e+02,1.646e+01,1.312e+01,1.606e+02
1.5,8.634e+01,2.269e+01,4.908e+01,1.581e+02
3.0,2.274e+01,1.720e+01,5.814e+01,9.808e+01
4.5,2.063e+02,2.008e+01,5.881e+01,2.852e+02
6.1,7.986e+02,2.751e+01,6.003e+01,8.862e+02
7.6,1.317e+03,3.479e+01,5.510e+01,1.407e+03
9.1,1.869e+03,4.439e+01,5.430e+01,1.967e+03
10.6,2.557e+03,5.508e+01,6.182e+01,2.674e+03
12.1,3.463e+03,6.482e+01,6.298e+01,3.590e+03
13.6,4.472e+03,7.908e+01,5.851e+01,4.610e+03
15.1,5.675e+03,9.522e+01,5.903e+01,5.830e+03
16.6,6.788e+03,1.082e+02,7.624e+01,6.972e+03
18.2,7.408e+03,1.340e+02,1.114e+02,7.653e+03
19.7,8.012e+03,1.408e+02,1.399e+02,8.293e+03
21.2,9.642e+03,1.534e+02,1.515e+02,9.947e+03
22.7,1.174e+04,1.769e+02,1.660e+02,1.209e+04
24.2,1.394e+04,1.970e+02,1.848e+02,1.432e+04
25.7,1.492e+04,2.029e+02,1.866e+02,1.531e+04
27.2,1.542e+04,2.148e+02,1.282e+02,1.577e+04
28.7,1.701e+04,2.439e+02,8.418e+01,1.734e+04
30.3,1.908e+04,2.821e+02,6.935e+01,1.944e+04
31.8,2.120e+04,3.187e+02,6.026e+01,2.158e+04
33.3,2.346e+04,3.495e+02,6.427e+01,2.387e+04
34.8,2.545e+04,3.735e+02,7.036e+01,2.590e+04
36.3,2.726e+04,3.904e+02,6.820e+01,2.772e+04
37.8,2.964e+04,4.274e+02,7.344e+01,3.015e+04
39.3,3.192e+04,4.524e+02,8.782e+01,3.246e+04
40.8,2.733e+04,4.316e+02,9.200e+01,2.786e+04
42.4,1.855e+04,3.530e+02,8.923e+01,1.899e+04
43.9,2.278e+04,3.716e+02,8.062e+01,2.323e+04
45.4,3.165e+04,4.358e+02,7.861e+01,3.217e+04
46.9,3.008e+04,4.140e+02,7.744e+01,3.057e+04
48.4,2.881e+04,3.856e+02,7.913e+01,2.927e+04
49.9,2.940e+04,3.389e+02,8.871e+01,2.983e+04
51.4,3.031e+04,3.286e+02,8.661e+01,3.072e+04
52.9,3.447e+04,3.522e+02,9.814e+01,3.492e+04
54.5,4.228e+04,3.976e+02,1.299e+02,4.281e+04
56.0,4.817e+04,4.698e+02,1.469e+02,4.878e+04
57.5,4.879e+04,5.444e+02,1.448e+02,4.948e+04
59.0,5.033e+04,6.084e+02,1.588e+02,5.110e+04
60.5,5.565e+04,6.740e+02,1.867e+02,5.651e+04
62.0,5.951e+04,6.573e+02,2.273e+02,6.039e+04
63.5,6.275e+04,5.877e+02,2.444e+02,6.359e+04
65.0,6.708e+04,5.966e+02,2.247e+02,6.790e+04
66.6,7.413e+04,6.524e+02,2.385e+02,7.502e+04
68.1,8.234e+04,7.113e+02,2.678e+02,8.332e+04
69.6,8.285e+04,7.238e+02,2.787e+02,8.385e+04
71.1,7.762e+04,6.969e+02,2.818e+02,7.860e+04
72.6,8.300e+04,7.695e+02,3.103e+02,8.408e+04
74.1,9.348e+04,8.655e+02,3.669e+02,9.471e+04
75.6,1.073e+05,9.884e+02,4.322e+02,1.087e+05
77.1,1.174e+05,1.065e+03,4.526e+02,1.189e+05
78.7,1.156e+05,1.051e+03,4.703e+02,1.171e+05
80.2,1.361e+05,1.275e+03,5.467e+02,1.380e+05
81.7,1.749e+05,1.759e+03,6.230e+02,1.773e+05
83.2,2.249e+05,2.585e+03,7.595e+02,2.283e+05
84.7,2.640e+05,4.090e+03,1.037e+03,2.691e+05
86.2,2.806e+05,5.848e+03,1.419e+03,2.878e+05
87.7,2.853e+05,7.596e+03,2.013e+03,2.949e+05
89.3,2.859e+05,1.020e+04,3.121e+03,2.992e+05
90.8,2.819e+05,1.513e+04,4.197e+03,3.012e+05
92.3,2.677e+05,2.243e+04,5.312e+03,2.954e+05
93.8,2.524e+05,3.428e+04,7.087e+03,2.938e+05
95.3,2.338e+05,6.178e+04,1.171e+04,3.073e+05
96.8,2.213e+05,1.134e+05,2.104e+04,3.558e+05
98.3,2.266e+05,1.561e+05,2.925e+04,4.120e+05
99.8,2.308e+05,1.564e+05,2.998e+04,4.172e+05
101.4,2.189e+05,1.194e+05,2.377e+04,3.620e+05
102.9,2.010e+05,8.389e+04,1.770e+04,3.026e+05
104.4,1.928e+05,6.617e+04,1.468e+04,2.737e+05
105.9,1.844e+05,5.657e+04,1.245e+04,2.534e+05
107.4,1.732e+05,4.540e+04,1.016e+04,2.287e+05
108.9,1.607e+05,3.536e+04,8.393e+03,2.045e+05
110.4,1.473e+05,2.690e+04,7.063e+03,1.813e+05
111.9,1.328e+05,2.116e+04,6.219e+03,1.602e+05
113.5,1.190e+05,1.833e+04,5.963e+03,1.433e+05
115.0,1.088e+05,1.862e+04,6.397e+03,1.338e+05
116.5,9.935e+04,2.056e+04,7.529e+03,1.274e+05
118.0,9.083e+04,2.313e+04,9.286e+03,1.232e+05
119.5,8.483e+04,2.575e+04,1.222e+04,1.228e+05
121.0,7.656e+04,2.577e+04,1.625e+04,1.186e+05
122.5,6.550e+04,2.163e+04,2.124e+04,1.084e+05
124.0,4.863e+04,1.732e+04,2.827e+04,9.422e+04
125.6,3.267e+04,1.661e+04,3.474e+04,8.402e+04
127.1,2.020e+04,2.331e+04,3.869e+04,8.220e+04
128.6,1.103e+04,3.976e+04,4.239e+04,9.319e+04
130.1,4.644e+03,6.302e+04,4.195e+04,1.096e+05
131.6,2.372e+03,7.439e+04,3.306e+04,1.098e+05
133.1,3.249e+03,7.567e+04,2.430e+04,1.032e+05
134.6,4.289e+03,6.954e+04,1.792e+04,9.174e+04
136.1,4.759e+03,6.052e+04,1.381e+04,7.910e+04
137.7,4.564e+03,5.236e+04,1.082e+04,6.774e+04
139.2,4.230e+03,4.429e+04,8.644e+03,5.717e+04
140.7,4.140e+03,3.726e+04,7.003e+03,4.840e+04
142.2,4.322e+03,3.227e+04,5.957e+03,4.255e+04
143.7,4.706e+03,2.928e+04,5.413e+03,3.940e+04
145.2,5.202e+03,2.694e+04,5.132e+03,3.727e+04
146.7,5.501e+03,2.393e+04,4.752e+03,3.419e+04
148.2,5.661e+03,2.076e+04,4.393e+03,3.082e+04
149.8,5.728e+03,1.807e+04,4.136e+03,2.793e+04
151.3,5.779e+03,1.583e+04,3.742e+03,2.535e+04
152.8,5.788e+03,1.416e+04,3.501e+03,2.345e+04
154.3,5.714e+03,1.278e+04,3.284e+03,2.178e+04
155.8,5.211e+03,1.119e+04,3.014e+03,1.941e+04
157.3,4.330e+03,8.891e+03,2.554e+03,1.578e+04
158.8,3.784e+03,6.778e+03,2.096e+03,1.266e+04
160.3,3.905e+03,5.963e+03,1.927e+03,1.180e+04
161.9,3.902e+03,5.348e+03,1.785e+03,1.103e+04
163.4,4.272e+03,4.809e+03,1.662e+03,1.074e+04
164.9,5.019e+03,4.358e+03,1.567e+03,1.094e+04
166.4,5.714e+03,3.906e+03,1.498e+03,1.112e+04
167.9,6.993e+03,3.508e+03,1.443e+03,1.194e+04
169.4,8.109e+03,3.080e+03,1.392e+03,1.258e+04
170.9,9.525e+03,2.851e+03,1.369e+03,1.375e+04
172.5,1.380e+04,2.634e+03,1.360e+03,1.779e+04
174.0,2.293e+04,2.413e+03,1.299e+03,2.665e+04
175.5,3.649e+04,2.351e+03,1.247e+03,4.009e+04
177.0,5.673e+04,2.531e+03,1.215e+03,6.048e+04
178.5,8.142e+04,2.877e+03,1.152e+03,8.545e+04
180.0,9.772e+04,3.320e+03,1.150e+03,1.022e+05
181.5,1.007e+05,3.535e+03,1.194e+03,1.055e+05
183.0,9.708e+04,3.554e+03,1.256e+03,1.019e+05
184.6,9.322e+04,3.524e+03,1.326e+03,9.807e+04
186.1,8.606e+04,3.426e+03,1.379e+03,9.087e+04
187.6,8.200e+04,3.320e+03,1.432e+03,8.675e+04
189.1,7.586e+04,3.223e+03,1.459e+03,8.054e+04
190.6,6.891e+04,3.179e+03,1.486e+03,7.358e+04
192.1,6.642e+04,3.102e+03,1.527e+03,7.105e+04
193.6,5.881e+04,2.919e+03,1.527e+03,6.325e+04
195.1,4.810e+04,2.602e+03,1.417e+03,5.212e+04
196.7,3.643e+04,1.911e+03,1.139e+03,3.948e+04
198.2,3.174e+04,1.738e+03,1.035e+03,3.452e+04
199.7,2.631e+04,1.401e+03,8.658e+02,2.858e+04
